salmon,M1
grey60,M2
lightcyan,M3
paleturquoise,M4
orange,M5
blue,M6
tan,M7
red,M8
saddlebrown,M9
yellow,M10
magenta,M11
skyblue,M12
violet,M13
brown,M14
steelblue,M15
purple,M16
lightgreen,M17
darkmagenta,M18
black,M19
turquoise,M20
skyblue3,M21
white,M22
plum1,M23
pink,M24
royalblue,M25
greenyellow,M26
darkred,M27
lightyellow,M28
darkgreen,M29
sienna3,M30
darkgrey,M31
darkolivegreen,M32
darkorange,M33
darkturquoise,M34
midnightblue,M35
yellowgreen,M36
cyan,M37
green,M38
grey,unassigned