,CXCL1_1,CXCL1_2,CXCL1_3,CXCL1_4,CXCL1_5,CXCL1_6,CXCL2_1,CXCL2_2,CXCL2_3,CXCL2_4,CXCL2_5,CXCL2_6,CXCL3_1,CXCL3_2,CXCL3_3,CXCL3_4,CXCL3_5,CXCL3_6,CXCL5_1,CXCL5_2,CXCL5_3,CXCL5_4,CXCL5_5,CXCL5_6,CXCL6_1,CXCL6_2,CXCL6_3,CXCL6_4,CXCL6_5,CXCL6_6,CXCL8_1,CXCL8_2,CXCL8_3,CXCL8_4,CXCL8_5,CXCL8_6,CXCL9_1,CXCL9_2,CXCL9_3,CXCL9_4,CXCL9_5,CXCL9_6,CCL2_1,CCL2_2,CCL2_3,CCL2_4,CCL2_5,CCL2_6,PDPN_1,PDPN_2,PDPN_3,PDPN_4,PDPN_5,PDPN_6,THY1_1,THY1_2,THY1_3,THY1_4,THY1_5,THY1_6,OSMR_1,OSMR_2,OSMR_3,OSMR_4,OSMR_5,OSMR_6,CXCR1_1,CXCR1_2,CXCR1_3,CXCR1_4,CXCR1_5,CXCR1_6,CXCR2_1,CXCR2_2,CXCR2_3,CXCR2_4,CXCR2_5,CXCR2_6,CXCR3_1,CXCR3_2,CXCR3_3,CXCR3_4,CXCR3_5,CXCR3_6,CD14_1,CD14_2,CD14_3,CD14_4,CD14_5,CD14_6,S100A8_1,S100A8_2,S100A8_3,S100A8_4,S100A8_5,S100A8_6,S100A9_1,S100A9_2,S100A9_3,S100A9_4,S100A9_5,S100A9_6,OSM_1,OSM_2,OSM_3,OSM_4,OSM_5,OSM_6,Il1B_1,Il1B_2,Il1B_3,Il1B_4,Il1B_5,Il1B_6,TNF_1,TNF_2,TNF_3,TNF_4,TNF_5,TNF_6
EPCAM+ epithelial,0.013167,0.007546,0.02373,0.038321,0.071859,0.17681,0.024457,0.031306,0.03571,0.068247,0.104967,0.13658,0.01936,0.183435,0.02011,0.058794,0.017336,0.09291,0.012921,0.00908,0.08363,0,0.00337,0,0.001903,0.000561,0.00043,0.000096,0,0,0.060922,0.046436,0.03633,0.027465,0.10335,0.198,0.008103,0.000295,0.00209,0.003662,0,0,0.000452,0.000129,0.00069,0.000085,0,0.02466,0.000557,0.000304,0.0011,0,0,0.0074,0.001077,0,0.00018,0.000064,0,0.022,0.000224,0.000259,0.00033,0,0,0.00964,0.000165,0,0.00014,0,0,0,0.000234,0,0,0,0,0,0.000084,0.000059,0.0002,0.000027,0.000243,0,0.027942,0.003916,0.00354,0.007893,0.017275,0.05639,0.006621,0.000184,0.00074,0.000003,0.00002,0.00099,0.006252,0.000249,0.00105,0.000248,0.000479,0.00071,0.00039,0,0.00032,0,0.000008,0,0.013459,0.006563,0.0055,0.004649,0.014264,0,0.001663,0.000853,0.0007,0.004001,0.007642,0.02379
CD31+ endothelial cell,0.023874,0.200313,0.13785,0.001256,0.005467,0.01705,0.082586,0.848625,0.34521,0.080741,0.057655,0.15071,0.012292,0.239769,0.03864,0.004852,0.00507,0.01149,0.012624,0,0.02754,0,0,0,0.009706,0,0,0.00056,0,0,0.147166,1.224985,0.39871,0.062592,0.133247,0.03475,0.086532,0.046295,0.09434,0.010716,0.000393,0.0011,0.022116,0.107857,0.06769,0.031305,0.012415,0.03452,0.00413,0.072528,0.11546,0.003731,0.006148,0.01821,0.036486,0.01955,0.07439,0.0032,0.003307,0.01145,0.009998,0.068937,0.07835,0.012652,0.012053,0.05047,0.001359,0,0,0,0,0,0.001986,0,0,0,0,0.00056,0.000558,0.02236,0.00072,0.001033,0,0.00045,0.082728,0.018484,0.0301,0.117193,0.011588,0.04679,0.047154,0.002604,0.01923,0.001103,0.016784,0.00169,0.03781,0,0.00903,0.000669,0.0053,0.00097,0.00412,0,0.00438,0.000145,0.001215,0.00337,0.078854,0.009669,0.03837,0.002666,0.008545,0.01042,0.00863,0,0.02791,0.000944,0.008911,0.00481
CD90+PDPN+ stromal cell,0.105757,1.497389,1.83998,0.400581,0.830763,1.49118,0.106414,1.286202,0.74864,0.17721,0.358639,0.68959,0.014618,0.488,0.14622,0.020692,0.059571,0.11156,0.020389,0.004558,0.59891,0,0.008061,0.00837,0.020466,0.090032,0.34551,0.038842,0.015688,0.01877,0.069971,2.310398,1.85702,0.039352,0,0.38224,0.036261,0.014167,0.0286,0.089689,0.001546,0.00962,0.092081,0.994856,0.20152,0.216079,0.347147,0.82351,0.032352,0.22043,0.22716,0.185938,0.158151,0.22205,0.232333,0.135873,0.18948,0.17829,0.135729,0.76084,0.03742,0.106067,0.0832,0.166722,0.058743,0.12239,0.000499,0,0,0,0,0,0.001926,0,0.00076,0,0,0,0.000219,0.001711,0,0.00016,0.000063,0,0.033403,0.092607,0.13893,0.065278,0.04881,0.11516,0.01659,0.003998,0.04315,0.00226,0.004097,0.00014,0.012713,0.000834,0.01669,0.001738,0.000983,0.00073,0.000603,0.00361,0.00583,0.000163,0.000207,0,0.025081,0,0.20791,0.023019,0.014063,0.00341,0.001239,0.001035,0.04047,0.003948,0.01213,0.00226
CD11C-CD14+ MNP,0.020723,0.145908,0.58503,0.01329,0,0.05615,0.056459,0.816171,0.96588,0.235698,0,0.18663,0.013529,0,0.59097,0.082106,0,0.10205,0.02086,0.13672,0.24604,0.005029,0,0,0.018697,0,0.00702,0.001238,0,0,0.315432,12.039412,5.63587,1.288181,0.371467,2.76991,0.076784,0,0.04992,0.020035,0,0,0.005972,0.004984,0.00505,0.016848,0,0.03056,0.005515,0,0.00399,0.002483,0,0,0.007857,0,0.00423,0.003198,0,0,0.000258,0,0.00048,0.000448,0,0,0.002123,0,0,0,0,0,0.001164,0,0,0,0,0,0.004765,0.147997,0.0013,0.000451,0,0,0.106791,0.32042,0.81757,2.298464,0,0.64854,0.104668,0.004567,0.01441,0.009251,0,0.01831,0.073868,0,0.00765,0.033607,0,0.0728,0.011247,0.00621,0.03133,0.0169,0,0.09003,0.184348,2.444371,1.80019,0.774344,0,0.6223,0.025184,0.521917,0.38368,0.137767,0,0.33732
CD11C+CD14+ MNP,0.011525,0.407299,0.09861,0.002037,0.049771,0.00511,0.049492,2.527223,0.33448,0.071386,0.431077,0.16931,0.027218,4.379997,0.16043,0.018736,0.003477,0.05417,0.006531,0.537997,0.0752,0.000644,0.030832,0.00149,0.001967,0,0.00068,0.000052,0.000068,0.0001,0.386413,18.316479,1.51432,0.211819,27.923533,0.90235,0.150559,0,0.0572,0.060035,0.034828,0.00626,0.00129,0.093378,0.01068,0.000391,0.01438,0.00025,0.000778,0,0.00295,0.000089,0.000108,0.00008,0.000996,0,0.002,0.000028,0.000087,0,0.000199,0,0.00127,0.000024,0.000067,0.00003,0.000351,0,0.00004,0.00001,0,0,0.002046,0,0.00066,0.000086,0.000099,0.00066,0.000124,0.315787,0.00017,0.000043,0,0.00013,0.258105,0.876855,0.37636,0.404565,0.317436,0.12869,0.014478,1.845359,0.54468,0.131908,0.09592,0.33171,0.141772,0.711739,0.25358,0.203393,0.078043,0.09527,0.01642,0.085723,0.0394,0.005556,0.021459,0.02984,0.513513,11.061462,2.67173,0.856572,6.02614,1.16983,0.046466,1.179259,0.26769,0.041947,0.374502,0.04864
CD11C+CD14- MNP,0.004778,0,0.18363,0.000187,0.001753,0.00044,0.005292,0.030909,0.24507,0.010294,0.039477,0.0167,0.001326,0,0.0672,0.001074,0.006222,0.00205,0.004158,0,0.09421,0,0.00219,0.00104,0.002164,0,0.00823,0.000019,0.000063,0,0.05624,1.527053,1.99666,0.107322,1.437642,0.41422,0.103699,0.035399,0.08954,0.060616,0.017803,0.00476,0.000816,0,0.01697,0.000128,0.000826,0.00003,0.000486,0,0.01461,0.000051,0,0,0.000858,0,0.01339,0.000024,0,0.00133,0.000128,0,0.00587,0,0.000028,0,0.000164,0,0,0,0,0,0.000646,0,0,0.000183,0.000363,0,0.000438,0,0.00211,0.001012,0,0.00054,0.016766,0,0.09098,0.013733,0.010192,0.00292,0.007288,0.00947,0.02529,0.003019,0.001014,0.00224,0.007474,0,0.01839,0.008817,0.002552,0.00345,0.001152,0,0.02352,0.00515,0.008339,0.00677,0.047186,0.533556,0.54487,0.126593,0.94512,0.31996,0.002887,0.029602,0.06765,0.013399,0.032666,0.01747
CD16+CD66B+ neutrophil,0.037473,0.233922,0.25723,0.023843,0.277845,0.14822,0.010512,0.011661,0.1081,0.01523,0.087305,0.02436,0.000184,0.006159,0.02406,0.001661,0,0.00068,0.000958,0,0.004,0,0,0,0.00058,0,0.00121,0,0,0.00051,2.65164,10.585535,7.01652,2.024641,1.019081,35.13521,0.008558,0,0.00699,0.001262,0,0,0.000237,0,0.01367,0.000294,0,0.00078,0,0,0.01206,0.00041,0,0,0.000574,0,0.01093,0.0005,0,0.00066,0,0,0.00404,0.000176,0,0,0.033153,0.003976,0.031,0.014558,0,0.06921,0.11974,0.138995,0.13579,0.1228,0.158935,0.29608,0,0,0.00028,0.000044,0,0,0.260408,0.498271,0.31691,0.078722,1.000575,0.12747,1.111147,5.353862,8.23137,0.834059,7.447357,4.88959,0.945609,2.239045,2.807,1.022304,4.048746,1.77699,0.073846,0.333352,0.20997,0.031555,0.829723,0.38438,0.629023,0.787396,1.3768,0.657217,7.889014,1.05997,0.00161,0.028601,0.01833,0.004249,0.018002,0.00171
CD16imSig8+ eosinophil,0.004289,0.002457,0.10468,0,0,0.00001,0.003167,0.003423,0.06921,0.000147,0,0.00143,0.001018,0,0.02528,0,0.000486,0,0.003709,0.011579,0.00764,0,0,0,0.004292,0,0.00071,0,0,0,0.311108,0.657392,0.43756,0.359833,0.565182,0.57825,0.010346,0,0.00778,0.000661,0,0,0.000238,0.000338,0.0058,0.000851,0.001944,0.00026,0.000673,0,0.01244,0,0,0,0.001327,0.001253,0.00395,0,0,0.00081,0.000261,0,0.00177,0,0,0.00034,0,0,0,0,0,0,0.001018,0.001323,0.0044,0.001393,0.000802,0.00449,0,0,0.00007,0,0,0,0.007056,0,0.04604,0.007787,0,0.00805,0.081517,0.086176,0.22515,0.083012,0.133775,0.08532,0.061632,0.053751,0.07352,0.068885,0.086476,0.05962,0.006514,0.033929,0.03103,0.013673,0.120692,0.02299,0.175023,0.281549,0.15425,0.498211,0.429279,0.27296,0.000753,0,0.01404,0.00178,0,0.00108
cKit+ mast cell,0.002945,0.118858,0.13605,0,0.028809,0.02344,0.053039,0.127517,0.0398,0.01244,0.042671,0.04881,0.009917,0.16559,0.0104,0.003198,0.006137,0.00738,0.00169,0,0,0,0,0,0.000479,0.006395,0,0,0.004167,0,0.098908,0.701382,0.18315,0.019037,7.94788,0.11482,0.00458,0,0.00491,0.000783,0,0,0.00009,0.100646,0.00678,0.001828,0.050666,0.02084,0.000653,0,0.01038,0.000781,0.005037,0,0.001597,0,0.01036,0.001056,0.007948,0.00723,0.000153,0.013841,0,0.000695,0.005153,0.00212,0,0,0,0,0.105239,0.01179,0.001492,0,0,0,0,0,0.000541,0,0,0.000142,0,0,0.012587,0.032846,0,0.004687,0.039293,0,0.007253,0.069681,0.05075,0.000463,0.105603,0.00118,0.005293,0.058085,0.0078,0,0.024819,0,0.00271,0.026209,0.0394,0.01053,0.014973,0.0368,0.012934,0.24373,0.04633,0.009154,0.190766,0.03081,0.010466,0.055646,0.05635,0.036637,0.120694,0.3328
CD4+ T cell,0.005129,0.003219,0.0072,0,0.000595,0.00358,0.007586,0.030994,0.00688,0.000615,0.001276,0.00088,0.001846,0.000939,0.0015,0,0.003634,0.00067,0.003729,0,0.0011,0,0,0,0.002042,0,0.00046,0,0,0,0.044642,0.227031,0.02073,0.002901,0.001575,0.00498,0.010241,0,0.00036,0.002417,0,0,0.000863,0.008782,0.00093,0.000092,0.000946,0.00043,0.001208,0,0.0014,0,0,0,0.002609,0.01197,0.00056,0.000682,0,0.00136,0.000288,0.000723,0.00039,0,0.000147,0,0,0,0,0,0,0,0.000143,0,0,0,0,0,0.001724,0.019861,0.00137,0.005082,0.002105,0.00451,0.01881,0,0.00773,0,0,0.00499,0.004364,0.004069,0.0023,0.00962,0.000027,0.00011,0.011343,0,0.00146,0,0,0,0.002118,0.00401,0.0031,0.001736,0.004706,0.01597,0.025425,0.010669,0.00671,0.000446,0.002268,0.00134,0.005405,0.224409,0.03732,,0.37545,0.07939
CD8+ T cell,0.000195,0.056022,0.00194,0.000195,0,0.00132,0.000673,0.003588,0.00454,0.000614,0,0.00467,0.00045,0.008855,0.00112,0.000123,0,0.00071,0.000874,0,0,0,0,0,0.000331,0,0,0,0,0,0.010245,0.079956,0.01713,0.003186,0.000782,0.0151,0.001748,0.007902,0.00381,0.000842,0,0,0.000406,0.000338,0.00018,0.000018,0,0.00016,0.000124,0,0,0,0,0,0.00039,0.372479,0,0,0,0,0,0,0.00027,0,0,0,0.000117,0,0,0,0,0,0.000431,0,0,0,0,0,0.001741,0.127025,0.00669,0.003554,0.002553,0.00664,0.004939,0,0.00796,0.000521,0.001052,0.0093,0.001588,0.001753,0.00142,0.004421,0.000048,0.00117,0.003129,0,0.00031,0,0,0,0.001974,0.010126,0.00657,0.000804,0.009707,0.00708,0.006387,0,0.0122,0.000672,0.002844,0.00484,0.004509,0.562626,0.02454,0.020916,0.102811,0.24033
CD19+ B cell,0.005983,0.011753,0.01024,0,0.00086,0.00197,0.003505,0.028539,0.01329,0.004627,0.002485,0.00061,0.001723,0.005567,0.00199,0.00047,0.003764,0,0.004937,0,0,0,0.002845,0,0.004725,0,0.00023,0,0,0,0.028197,0.126954,0.03324,0.019744,0.104233,0.0024,0.009962,0.014537,0.00153,0.004796,0.002886,0,0.000556,0.004943,0.0006,0.000431,0.000117,0.00153,0.000505,0,0.00037,0,0,0.00083,0.001948,0.001021,0.0006,0.000379,0,0.00051,0.000075,0.000467,0.00029,0,0,0,0.000284,0,0,0,0,0,0.000977,0.00115,0.00067,0,0.000504,0,0.00038,0.00498,0.00038,0.00039,0.001778,0.00031,0.019333,0.005056,0.01071,0.003178,0.004708,0.00215,0.000013,0.004374,0.00001,0.008045,0.028944,0.00008,0.00773,0.000879,0.00098,0.001323,0.012312,0.00023,0.001193,0.004789,0.00302,0.000436,0.004788,0.00325,0.015549,0.053411,0.00453,0.017244,0.044316,0.00167,0.004673,0.052896,0.07742,0.011739,0.026732,0.02907
CD56+ NK cell,0.000433,0.069464,0.10198,0.016273,0,0.00534,0.004129,0.136686,0.25258,0.068209,0.003925,0.02127,0.000644,0.006238,0.07044,0.004296,0.029793,0.00501,0.000284,0.020936,0.00869,0,0,0,0.000412,0.002262,0.00644,0,0,0,0.01165,1.400377,3.03589,0.279519,0.03608,0.05758,0.003451,0.010799,0.01996,0.023489,0.001027,0,0.000238,0.006729,0.0288,0.009039,0.000813,0.0022,0,0,0,0.009326,0,0.00321,0,0.003645,0.00396,0.003098,0.000805,0.00328,0.000165,0,0.00821,0.002767,0,0.00021,0.000137,0,0,0.000379,0,0,0.000108,0,0,0.003245,0.034717,0,0.001969,0.024306,0.00073,0.015169,0.001211,0.0042,0.007578,0.038538,0.09851,0.032883,0,0.01848,0.001536,0.000528,0.02042,0.003531,0.000101,0.0056,0.004177,0.003505,0.00666,0.01736,0.000231,0.00253,0.00124,0.004994,0.00387,0.007743,0.011737,0.00876,0.007238,0.34201,0.11077,0.030173,0.000977,0.0408,0.005216,0.083875,0.06627,0.237898,0.100407,0.07022
